"1.3.1; Compiler: clang ""3.5.0 (tags/RELEASE_350/final)"", C++ version: 199711; JIT Compiler: LLVM-3.5; Date: Apr 20 2015, 12:49:35"
Trial 1
Name,Load_time,Run_time,Total_time
jean_marie,0.10049891471862793,0.00014901161193847656,0.1006479263305664
jana_wolf,0.12324881553649902,0.1886601448059082,0.3119089603424072
biomod14,0.45671892166137695,0.008372068405151367,0.4650909900665283
biomod22,0.06317806243896484,0.0008640289306640625,0.0640420913696289
biomod33,0.09004688262939453,0.04754996299743652,0.13759684562683105
00001,0.022073984146118164,0.0008211135864257812,0.022895097732543945
00002,0.02581501007080078,0.0009570121765136719,0.026772022247314453
00050,0.201552152633667,0.006196022033691406,0.2077481746673584
00100,0.41046690940856934,0.011500120162963867,0.4219670295715332
00150,0.6392710208892822,0.01682305335998535,0.6560940742492676
00200,0.8947381973266602,0.02189183235168457,0.9166300296783447
00250,1.1807739734649658,0.027832984924316406,1.2086069583892822
00300,1.5079100131988525,0.03250408172607422,1.5404140949249268
00350,1.8612329959869385,0.037899017333984375,1.8991320133209229
00400,2.2573599815368652,0.043267011642456055,2.3006269931793213
00450,2.6644678115844727,0.04724621772766113,2.711714029312134
00500,3.1076340675354004,0.05508685111999512,3.1627209186553955
Trial 2
Name,Load_time,Run_time,Total_time
jean_marie,0.10158109664916992,0.00014591217041015625,0.10172700881958008
jana_wolf,0.12324786186218262,0.19251608848571777,0.3157639503479004
biomod14,0.4526100158691406,0.008393049240112305,0.46100306510925293
biomod22,0.06318306922912598,0.0008580684661865234,0.0640411376953125
biomod33,0.08991098403930664,0.04740190505981445,0.1373128890991211
00001,0.021830081939697266,0.0008180141448974609,0.022648096084594727
00002,0.02521991729736328,0.0009369850158691406,0.026156902313232422
00050,0.2006700038909912,0.00623011589050293,0.20690011978149414
00100,0.40720486640930176,0.01150202751159668,0.41870689392089844
00150,0.6347560882568359,0.01718306541442871,0.6519391536712646
00200,0.8973081111907959,0.02190995216369629,0.9192180633544922
00250,1.1868078708648682,0.027677059173583984,1.2144849300384521
00300,1.507673978805542,0.03222393989562988,1.5398979187011719
00350,1.859982967376709,0.03788304328918457,1.8978660106658936
00400,2.2357139587402344,0.043441057205200195,2.2791550159454346
00450,2.653352975845337,0.047241926193237305,2.700594902038574
00500,3.1132278442382812,0.05590105056762695,3.169128894805908
Trial 3
Name,Load_time,Run_time,Total_time
jean_marie,0.10178112983703613,0.00014400482177734375,0.10192513465881348
jana_wolf,0.12295913696289062,0.1863250732421875,0.3092842102050781
biomod14,0.4507730007171631,0.00834512710571289,0.459118127822876
biomod22,0.06323814392089844,0.0008668899536132812,0.06410503387451172
biomod33,0.09020709991455078,0.04747295379638672,0.1376800537109375
00001,0.02234506607055664,0.0008380413055419922,0.023183107376098633
00002,0.02578115463256836,0.0009458065032958984,0.026726961135864258
00050,0.20151901245117188,0.006222963333129883,0.20774197578430176
00100,0.40845704078674316,0.011487960815429688,0.41994500160217285
00150,0.638545036315918,0.016759872436523438,0.6553049087524414
00200,0.8967950344085693,0.022120952606201172,0.9189159870147705
00250,1.1834778785705566,0.027719974517822266,1.211197853088379
00300,1.5112929344177246,0.0320281982421875,1.543321132659912
00350,1.8597848415374756,0.03742504119873047,1.897209882736206
00400,2.2474119663238525,0.04335594177246094,2.2907679080963135
00450,2.6628220081329346,0.04737496376037598,2.7101969718933105
00500,3.1130290031433105,0.05507802963256836,3.168107032775879
