Trial 1
Name,Load_time,Run_time,Total_time
jean_marie,0.11400008201599121,0.0,0.11400008201599121
jana_wolf,0.1380000114440918,0.18599987030029297,0.32399988174438477
biomod14,0.5320000648498535,0.006999969482421875,0.5390000343322754
biomod22,0.06700015068054199,0.0009999275207519531,0.06800007820129395
biomod33,0.11300015449523926,0.04200005531311035,0.1550002098083496
00001,0.03300023078918457,0.0009999275207519531,0.03400015830993652
00002,0.03800010681152344,0.0009999275207519531,0.03900003433227539
00050,0.29200005531311035,0.003999948501586914,0.29600000381469727
00100,0.5850000381469727,0.006999969482421875,0.5920000076293945
00150,0.9340000152587891,0.009999990463256836,0.9440000057220459
00200,1.319000005722046,0.015000104904174805,1.3340001106262207
00250,1.7430000305175781,0.017999887466430664,1.7609999179840088
00300,2.2209999561309814,0.02200007438659668,2.243000030517578
00350,2.746999979019165,0.026000022888183594,2.7730000019073486
00400,3.242000102996826,0.032000064849853516,3.2740001678466797
00450,3.8399999141693115,0.04200005531311035,3.881999969482422
00500,4.549000024795532,0.03899979591369629,4.5879998207092285
Trial 2
Name,Load_time,Run_time,Total_time
jean_marie,0.10700011253356934,0.0,0.10700011253356934
jana_wolf,0.13700008392333984,0.18799996376037598,0.3250000476837158
biomod14,0.4909999370574951,0.007999897003173828,0.49899983406066895
biomod22,0.06599998474121094,0.0009999275207519531,0.06699991226196289
biomod33,0.11100006103515625,0.042999982833862305,0.15400004386901855
00001,0.0279998779296875,0.0010001659393310547,0.029000043869018555
00002,0.03399991989135742,0.002000093460083008,0.03600001335144043
00050,0.2799999713897705,0.004000186920166016,0.2840001583099365
00100,0.5820000171661377,0.006000041961669922,0.5880000591278076
00150,0.9149999618530273,0.010999917984008789,0.9259998798370361
00200,1.3020000457763672,0.01399993896484375,1.315999984741211
00250,1.7269999980926514,0.026000022888183594,1.753000020980835
00300,2.2019999027252197,0.02200007438659668,2.2239999771118164
00350,2.7730000019073486,0.026000022888183594,2.7990000247955322
00400,3.243000030517578,0.03699994087219238,3.2799999713897705
00450,3.8429999351501465,0.032000064849853516,3.875
00500,4.542999982833862,0.04800009727478027,4.591000080108643
Trial 3
Name,Load_time,Run_time,Total_time
jean_marie,0.10899996757507324,0.0009999275207519531,0.1099998950958252
jana_wolf,0.13400006294250488,0.18899989128112793,0.3229999542236328
biomod14,0.4960000514984131,0.006999969482421875,0.503000020980835
biomod22,0.06800007820129395,0.0009999275207519531,0.0690000057220459
biomod33,0.11100006103515625,0.042999982833862305,0.15400004386901855
00001,0.029000043869018555,0.0009999275207519531,0.029999971389770508
00002,0.03500008583068848,0.0009999275207519531,0.03600001335144043
00050,0.28299999237060547,0.003999948501586914,0.2869999408721924
00100,0.5739998817443848,0.00800013542175293,0.5820000171661377
00150,0.9000000953674316,0.012000083923339844,0.9120001792907715
00200,1.2850000858306885,0.01399993896484375,1.2990000247955322
00250,1.7100000381469727,0.02500009536743164,1.7350001335144043
00300,2.2100000381469727,0.02200007438659668,2.2320001125335693
00350,2.7709999084472656,0.02500009536743164,2.7960000038146973
00400,3.2680001258850098,0.029999971389770508,3.2980000972747803
00450,3.8569998741149902,0.032000064849853516,3.8889999389648438
00500,4.476999998092651,0.04900002479553223,4.526000022888184
